Entity_0,Entity_1,Entity_2,Entity_3,Entity_4,Entity_5,Entity_6,Year,Sex_0,Sex_1,Age,Remaining Life Expectancy,Gov expenditure on education (%),Internet usage (% of population),Access to electricity (% of population),Access to Sanitation (% of population),Smoking Adults (% of population),GDP ($),Meat consumptionm in kg per year per capita,ObesityRate (BMI > 30),Healthcare spending (% of GDP),"air pollution, annual exposure (micrograms per cubic meter)",Electoral democracy index
0,0,0,0,0,0,1,2000,0,1,0,71.9487,4.982848571428571,0.4917057,98.9731,58.85,22.2,270391670000.0,18.933718,15.0,2.5108278,37.53605,0.326
0,0,0,0,0,0,1,2001,0,1,0,72.1968,4.90212,0.646114,98.96687,59.19,22.12,278503420000.0,17.341906,15.5,2.9254992,37.200605200000005,0.326
0,0,0,0,0,0,1,2002,0,1,0,72.5595,4.821391428571428,1.5916413,98.95306,59.53,22.04,294099600000.0,18.096855,16.1,2.8079257,36.8651604,0.329
0,0,0,0,0,0,1,2003,0,1,0,72.2499,4.740662857142857,2.1953597,98.93401,59.86,21.96,315274800000.0,19.324575,16.7,2.7617898,36.5297156,0.335
0,0,0,0,0,0,1,2004,0,1,0,72.8122,4.659934285714286,4.634475,98.91208,60.18,21.88,328831600000.0,21.336285,17.3,2.5288203,36.1942708,0.336
0,0,0,0,0,0,1,2005,0,1,0,73.0754,4.579205714285714,5.843942,98.88961,60.5,21.8,348232680000.0,21.547203,17.9,2.2416713,35.858826,0.337
0,0,0,0,0,0,1,2006,0,1,0,73.3785,4.498477142857142,7.375985,98.86901,60.81,21.74,354152640000.0,20.21805,18.6,2.296993,35.4142248,0.337
0,0,0,0,0,0,1,2007,0,1,0,73.7351,4.417748571428572,9.451191,98.852936,61.11,21.68,366193800000.0,20.07677,19.2,2.6668763,34.9696236,0.333
0,0,0,0,0,0,1,2008,0,1,0,74.0706,4.33702,10.18,99.3,61.41,21.62,374982480000.0,19.335337,19.9,3.0251641,34.525022400000005,0.33
0,0,0,0,0,0,1,2009,0,1,0,74.8643,5.16216425,11.23,98.845184,61.7,21.56,380982200000.0,19.992228,20.7,3.798957,34.0804212,0.328
0,0,0,0,0,0,1,2010,0,1,0,74.8731,5.9873085,12.5,98.85893,61.98,21.5,394697540000.0,19.645884,21.4,3.555523,33.63582,0.325
0,0,0,0,0,0,1,2011,0,1,0,75.2364,6.81245275,14.9,98.88803,62.26,21.42,406143760000.0,20.064281,22.2,3.719759,33.83405,0.328
0,0,0,0,0,0,1,2012,0,1,0,75.4783,7.637597,18.2,98.76466,62.31,21.34,419952660000.0,20.878937,23.1,4.3761406,33.366825,0.327
0,0,0,0,0,0,1,2013,0,1,0,75.8399,7.2922964,22.5,99.002205,62.35,21.26,431711350000.0,20.765884,23.9,4.2883034,34.245327,0.327
0,0,0,0,0,0,1,2014,0,1,0,76.4667,7.318701,29.5,99.08701,62.39,21.18,448116360000.0,21.47037,24.8,4.714543,35.56392,0.326
